pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
41883035,Multimodal Approach for Recalcitrant Melasma Using Picosecond Laser and Topical JAK Inhibition: A Case Report.,"Melasma is a chronic hyperpigmentation disorder with high relapse rates, particularly in Fitzpatrick skin types III-V. Increasing evidence implicates cytokine-driven inflammation and visible light-induced melanogenesis as key contributors to disease persistence. These mechanisms support the rationale for exploring a multimodal therapeutic approach. A woman in her early 30s with phototype IV presented with a 5-year history of recalcitrant centrofacial melasma. Previous treatments-including hydroquinone, oral tranexamic acid, and superficial chemical peels-produced only transient and incomplete improvement. Baseline Melasma Severity Index (MSI) score was 7.9, consistent with moderate-to-severe disease. Treatment consisted of low-fluence picosecond 755 nm alexandrite laser, short-term topical corticosteroid post-procedure, initiation of topical tofacitinib 2% cream twice daily for 11 months, and continuous iron oxide-based visible light-blocking photoprotection. Laboratory monitoring during therapy remained normal. At 11 months, the patient achieved near-total clearance with an MSI reduction from 7.9 to 0.10 (98.7% improvement). No adverse events, post-inflammatory hyperpigmentation, or relapse were observed, including 3 months after treatment cessation. This case illustrates the potential clinical value of combining pigment-targeted picosecond laser therapy with topical JAK inhibition and visible light-specific photoprotection for recalcitrant melasma. The durable remission achieved supports further investigation into anti-inflammatory and photoreactive pathway modulation as adjunctive strategies in melasma management.",2026,Journal of cosmetic dermatology,hydroquinone,skin | immune system,immune disruption,sunscreen,unspecified,sunscreen/UV filter study | skin/topical study | clinical/hospital study,,
41875827,The Risky Appearance Altering Behaviours Inventory (RAABI): A validated new outcome measure for sociocultural models of body image in English and Spanish speaking women.,"People worldwide use risky, potentially harmful cosmetic procedures to change their appearance. The newly developed Risky Appearance Altering Behaviours Inventory (RAABI) measures interest and engagement in appearance-altering behaviours, including surgical and non-surgical cosmetic procedures, diet pills, skin bleaching and hair straightening. RAABI items were constructed based on focus groups across diverse cultural contexts. Using exploratory factor analysis (EFA), confirmatory factor analysis (CFA), exploratory structural equation modelling (ESEM) and bifactor ESEM, we examined the psychometric properties of the RAABI among women from the UK (N = 784, M<sub>age</sub> = 27.8, SD = 12.09) and Colombia (N = 589, M<sub>age</sub> = 21.43, SD = 2.96). We examined construct validity, composite reliability and longitudinal reliability (test-retest and invariance over 2 weeks), and assessed the fit of an extended Tripartite Influence Model (TIM) including the RAABI as an outcome alongside eating disorder (ED) symptoms. The RAABI demonstrated good composite reliability, construct validity, and indications of longitudinal reliability. In both countries, a 12-item, three-factor ESEM structure with good psychometric properties emerged, although item composition differed (UK included tanning, Colombia included skin bleaching items). Bifactor models were psychometrically adequate, showing a strong general factor with three subscales in Colombia, and a moderate general factor in the UK. The extended TIM showed good fit with RAABI included as an outcome measure. Overall, the RAABI (used as a total score or via subscales) is a psychometrically valid measure for assessing additional negative outcomes of sociocultural pressures, appearance ideal internalisation and body dissatisfaction in the UK and Colombia.",2026,Body image,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | hair product study | food/dietary exposure,,
41873648,Cross-Cultural Beliefs and Stigmatization in Vitiligo: A Systematic Review.,"Vitiligo is an autoimmune condition marked by depigmentation of the skin and is frequently associated with psychosocial distress. Although often dismissed as cosmetic, vitiligo carries a substantial burden influenced by cultural beliefs, stigma, and access to medical education. This review aims to examine the literature on cross-cultural beliefs, stigmatization, psychological comorbidities, and quality of life (QoL) outcomes in individuals with vitiligo. A comprehensive search of PubMed, Embase, and PsycINFO was conducted to identify peer-reviewed studies discussing cultural beliefs, stigma, psychological burden, or QoL in individuals with vitiligo. Inclusion criteria encompassed original studies in English assessing relevant psychosocial or cultural domains. Twenty-three studies met inclusion criteria. Cultural attributions of vitiligo varied widely, with some populations linking the disease to contagion, divine punishment, or supernatural causes. These beliefs were more prevalent in regions with lower health literacy and limited access to dermatologic care. Stigmatization-manifesting as social exclusion, employment and marital discrimination, and internalized shame-was consistently reported across settings, though more severe in female patients and individuals with darker skin phototypes in certain regions. QoL impairment was greater in African, Middle Eastern, and South Asian populations compared to Western cohorts. Coping strategies included concealment, spiritual reliance, and use of complementary and alternative medicine (CAM). Vitiligo imposes a global psychosocial burden that is amplified by cultural misconceptions and stigma. Culturally tailored, multidisciplinary interventions-including education, psychological support, and community-based stigma reduction-are crucial to improving outcomes. Future research should focus on high-stigma, underrepresented populations to inform equitable care.",2026,Journal of cosmetic dermatology,hydroquinone,skin | immune system,immune disruption,unspecified,unspecified,cosmetics product study | clinical/hospital study | epidemiological study,,
41848961,Improved antioxidant and anti-melanogenic effects of ovalbumin derived from egg white after enzymatic hydrolysis.,"Consumption of oxidized foods or exposure of skin to ultraviolet (UV) can produce reactive oxygen species (ROS) that increase oxidative stresses that can lead to skin aging and melanogenesis. Hydrolyzing proteins like ovalbumin (OA) can significantly increase their bioactivities. In this study, OA was hydrolyzed using Alcalase 2.4 L FG, Multifect PR 14 L, and Papain T100 MG, and the antioxidant and melanogenesis inhibitory activities of the hydrolysates were determined using B16F10 melanoma cells. All OA hydrolysates (OAH) showed higher antioxidant activities than the natural OA. The OAH prepared with Multifect PR 14 L (OAMF) exhibited the highest antioxidant activities and significantly inhibited melanin production and tyrosinase activity in the stimulated B16F10 cells using α-melanocyte-stimulating hormone. The DOPA staining confirmed the melanogenesis inhibitory (melanin formation and dendrite development) effects of OAMF. The OAMF (100, 200, and 400 µg/mL) treatment downregulated the mRNA expression of microphthalmia-associated transcription factor (MITF) and melanogenic enzymes [tyrosinase, tyrosinase-related protein 1 (TRP-1), and tyrosinase-related protein 2 (TRP-2)] dose-dependently. Therefore, OAMF can help reduce oxidative stress in humans when consumed and can be used as an anti-aging and skin-lightening agent in the cosmetic industry.",2026,Food science of animal resources,hydroquinone,skin,oxidative stress,unspecified,unspecified,cosmetics product study,,
41831283,Screening natural deep eutectic solvent-based extraction to analyze illegal skin-whitening ingredients in cosmetics using HPLC and LC-MS/MS.,"Despite regulatory bans on hazardous substances such as hydroquinone, glucocorticoids, and retinoids, these compounds are still detected in cosmetic products, underscoring the need for reliable analytical methods. This study evaluated four sample preparation approaches for detecting banned ingredients: ultrasound-assisted extraction (UAE), ""Quick, Easy, Cheap, Effective, Rugged, Safe"" (QuEChERS), solid-phase extraction (SPE), and natural deep eutectic solvents (NaDESs). High-performance liquid chromatography with diode array detection (HPLC-DAD) revealed low recoveries for QuEChERS and SPE. In contrast, NaDESs prepared with choline chloride (ChCl) or betaine as hydrogen bond acceptors (HBAs) and 1,3-propanediol as a hydrogen bond donor (HBD) achieved significantly higher recoveries. In particular the ChCl-1,3-propanediol NaDES (1:4 M ratio) provided recoveries of 83.96-105.45%. UAE using methanol yielded comparable recoveries (91.29-106.81%), but the NaDES approach was more environmentally sustainable due to reduced organic solvent use. Method validation following International Conference on Harmonization (ICH) guidelines confirmed acceptable sensitivity (limit of detection: 0.27-1.59 μg/mL; limit of quantification: 0.81-4.81 μg/mL), recovery, linearity, precision, and accuracy. Target analytes were further verified using liquid chromatography-tandem mass spectrometry. These results demonstrate the feasibility of applying green solvents in cosmetic analysis and highlight a sustainable, effective method for detecting banned skin-whitening agents.",2026,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",hydroquinone,skin,unspecified,unspecified,retinol,cosmetics product study | analytical/method study,,
41773167,Concomitant Use of Dermo-Cosmetic Skin Care in Aesthetic Procedures: Systematic Review with Expert Panel Recommendations.,"As demand for nonsurgical aesthetic procedures increases, interest is also growing for desirable skin quality-radiant, healthy, and glowing skin-by patients seeking treatment to improve appearance. Although aesthetic medicine physicians are well positioned to advise on the role of basic skin care products in maintenance of results and healing, clear guidelines and protocols are currently lacking regarding the standard use of these products before and after aesthetic procedures. An international panel of dermatologists (n = 6) and plastic surgeons (n = 2) convened virtually in March 2022 to discuss the role of skin care before and after nonsurgical aesthetic procedures (including injectables, energy-based devices, chemical peels, and microdermabrasion). As an outcome of that meeting, expert recommendations were developed for periprocedural skin care with the goal of improving recovery time or treatment outcomes for each procedure based on clinical evidence from a systematic literature review of relevant articles published through June 2022 combined with the authors' experience. Overall, 104 publications were identified and reviewed; publications could be counted more than once if they covered more than one topic (energy-based procedures, n = 70; injectable procedures including microneedling, n = 25; chemical peels, n = 21; microdermabrasion, n = 10). Common periprocedural skin care included daily routines utilizing cleansers, moisturizers, toners, hydroquinone, antioxidant serums, and sunscreens (as needed) across procedure types. Evidence supports pre/post-procedure routines (cleansers, moisturizers, toners, hydroquinone, antioxidants, sunscreens) across injectables (n = 25 studies), energy devices (n = 70), peels (n = 21), microdermabrasion (n = 10); high-evidence data limited, petrolatum/antioxidants show particular benefit post-laser. Panel consensus endorses tailored regimens to optimize recovery/outcomes. However, very few studies were designed to evaluate a specific routine vs no skin care treatment. Further studies are needed to provide clinical evidence supporting the effectiveness of periprocedural skin care in reducing healing time and improving aesthetic outcomes. Herein, we provide evidence- and expert-based recommendations for incorporating daily skincare, including cleansers, moisturizers, antioxidant serums, depigmenting agents, and sunscreens, into periprocedural care for minimally invasive aesthetic treatments. These regimens should be adapted to procedure type and individual post-procedural responses and symptoms to optimize outcomes and address specific patient needs.",2026,"Clinical, cosmetic and investigational dermatology",hydroquinone,skin | blood,oxidative stress,moisturizer | sunscreen,unspecified,cosmetics product study | sunscreen/UV filter study | skin/topical study | clinical/hospital study,,
41766949,"Prevalence and motivation factors of bleaching practices among female university students in Mogadishu, Somalia.","Skin bleaching is the cosmetic use of hazardous substances or skin lightening agents to change one's natural skin pigment. Skin bleaching products contain substances such as corticosteroids, hydroquinone, mercury salts, and other compounds that decrease the melanin. To assess the prevalence of skin bleaching and identify the motivating factors among female university students in Mogadishu, Somalia. This cross-sectional study included 317 female university students in Mogadishu, Somalia, from February to July 2024. Structured questionnaires were used for data collection. Data analysis was performed using IBM SPSS Statistics version 27.0, reporting categorical variables as frequencies and percentages; significance was determined at <i>p</i> < 0.05 for both crude odds ratios in univariate analyses and adjusted odds ratios (AORs) in multivariate analyses. Almost 77.3% of participants showed awareness of skin bleaching, with main information sources mentioned as media (39.7%) and friends (34.1%). Two-thirds (63.4%) reported experiencing skin conditions like acne (27.1%). Univariate and multiple logistic regression analyses were conducted. From the results, only female students with a monthly income between USD 50 and 100 were 1.21 (AOR = 1.21, 95% confidence interval: 1.102-1.6341) more likely to bleach their skin compared to those with an income less than USD 50. The study reveals a high prevalence of skin bleaching practices among female university students despite widespread awareness. Media and peer influence play a major role, and many participants reported adverse skin effects. Monthly income emerged as the key factor associated with skin bleaching, underscoring the need for targeted public health education and interventions.",2026,SAGE open medicine,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | epidemiological study,,
41743904,Correlation Between Improvements in Melasma Quality of Life (MELASQoL-INA) and Modified Melasma Area and Severity Index (mMASI) Following Triple Combination Therapy.,"Melasma is a facial pigmentary disorder that commonly causes psychosocial distress. Quality of life (QoL) is not routinely assessed in daily practice; therefore, its improvement in relation with the reduction of melasma severity remains unclear, especially among people of color. This study aimed to determine whether clinical improvement after triple combination cream (fluocinolone acetonide 0.01%, hydroquinone 4%, and tretinoin 0.05%) correlated with improved QoL. Participants with melasma were enrolled in a one-group pretest-posttest study and treated with triple combination cream for 12 weeks. The Melasma Quality of Life Scale (MELASQoL-INA, a validated questionnaire adapted into the Indonesian language) and the modified Melasma Area and Severity Index (mMASI) assessments were carried out at baseline visit and at weeks 4, 8, and 12 to evaluate QoL and clinical severity. Thirty female participants aged 30-60 years, with Fitzpatrick skin type IV or V and without other facial skin conditions, completed the study. The most negatively affected QoL domains were emotional well-being (appearance concerns, embarrassment, and frustration) and social life (desire to interact with other people). Significant improvements were observed in both mMASI (median reduction from 4.45 to 1.80; p < 0.001) and MELASQoL-INA scores (median reduction from 37 to 17; p < 0.001) after 12 weeks of treatment. Although no correlation was observed between mMASI and MELASQoL-INA scores at week 12 (r = 0.029, p = 0.879), a weak positive correlation was found between their respective changes after treatment (r = 0.397, p = 0.03). Clinical improvement in melasma severity following triple combination therapy is modestly associated with improved QoL. However, QoL impairment does not always correspond linearly with disease severity, highlighting the importance of integrating subjective QoL outcomes alongside clinical evaluations in the management of melasma.",2026,"Clinical, cosmetic and investigational dermatology",hydroquinone,skin,unspecified,unspecified,retinol,skin/topical study,,
41743871,Phytochemical profiling and enzyme inhibitory activity of <i>Sterculia populifolia</i> DC stem bark extract and fractions against elastase and tyrosinase.,"The demand for natural ingredients in cosmetic and medical applications is steadily increasing, particularly for anti-aging and skin-lightening products. <i>Sterculia populifolia</i> DC, a member of the <i>Sterculia</i> genus, is known to contain diverse bioactive compounds such as flavonoids, phenolics, and terpenoids, which may offer pharmacological benefits. The aim of this study was to evaluate the anti-aging potential of <i>S. populifolia</i> stem bark extract and its solvent-partitioned fractions through enzyme inhibition assays coupled with phytochemical profiling. The stem bark was extracted using 96% ethanol via maceration, followed by sequential liquid-liquid partitioning with <i>n</i>-hexane, ethyl acetate, <i>n</i>-butanol, and water. Phytochemical constituents were characterized using liquid chromatography-tandem mass spectrometry (LC-MS/MS). The inhibitory activities of the extract and fractions against tyrosinase and elastase enzymes were evaluated using spectrophotometric assays, with kojic acid and quercetin as positive controls, respectively. IC<sub>50</sub> values were calculated to quantify enzyme inhibition potency. LC-MS/MS analysis revealed key bioactive compounds, including 4-[(E)-(3,5-diamino-1H-pyrazol-4-yl)diazenyl]phenol, isofraxidin, and (22E)-ergosta-4,6,8(14),22-tetraen-3-one. Among the tested samples, the ethanol extract exhibited the most potent activity, with an IC<sub>50</sub> of 93.35 µg/mL for elastase inhibition and 133.15 µg/mL for tyrosinase inhibition-classified as strong and moderate activity, respectively. Collectively, these findings demonstrate that <i>S. populifolia</i> stem bark extract possesses promising anti-aging and depigmenting properties, supporting its potential development as a natural bioactive ingredient in cosmetic and skincare formulations.",2025,Narra J,hydroquinone,skin,unspecified,unspecified,kojic acid,cosmetics product study | analytical/method study,,
41718232,From Cosmetic Abuse to Clinical Mismanagement: A National Simulated Patient Study Assessing Community Pharmacists' Stewardship of Topical Corticosteroids in Jordan.,"<b>Background:</b> Topical Corticosteroids (TCS) are potent therapeutic agents associated with severe local and systemic adverse effects if misused. In Jordan, the unauthorized supply of TCS for cosmetic purposes and the mismanagement of dermatological conditions remain significant public health concerns. This study utilized a repeated-measures simulated patient (SP) methodology to evaluate community pharmacists' stewardship of TCS across a spectrum of clinical risks. <b>Methods:</b> A national cross-sectional study was conducted across 380 randomly selected community pharmacies in Jordan. Each pharmacy received four covert visits (N = 1520) corresponding to four distinct clinical scenarios representing different risk levels: cosmetic whitening, acne management, fungal infection, and pediatric diaper rash. The primary outcome was appropriate Practice, defined as the refusal to dispense unsafe medication or the provision of evidence-based alternatives. <b>Results:</b> Stewardship behavior varied significantly by clinical context (<i>p</i> < 0.001). Pharmacists demonstrated a hierarchy of safety, adhering to guidelines most strictly in the Pediatric scenario (82.1% appropriate refusal) but frequently abandoning safety standards in the Cosmetic scenario (30.0% appropriate refusal). Notably, 70.0% of pharmacists dispensed potent steroids for facial whitening, and 26.1% voluntarily offered to compound unauthorized steroid mixtures (<i>Khaltat</i>). In the acne scenario, 52.1% dispensed the contraindicated TCS, while only 37.9% appropriately switched the patient to an evidence-based alternative. In the fungal scenario, 60.0% failed to visually inspect the lesion, leading to a 40.0% rate of inappropriate TCS dispensing. Multivariable regression indicated that pharmacists working in chain pharmacies (aOR: 2.15, 95% CI: 1.68-2.75) and those holding advanced degrees (PharmD/MSc) (aOR > 1.38) were significantly more likely to practice appropriate TCS stewardship. High workload (>200 prescriptions/day) was a significant barrier to safety (aOR: 0.55). <b>Conclusions:</b> Community pharmacists in Jordan exhibited selective TCS stewardship, demonstrating high vigilance for pediatric safety, but widespread illegal practice regarding cosmetic misuse and differential diagnosis that may be unethical. The study results warrant the need for further urgent research to understand why these practices are occurring and how best to address them.",2026,"Pharmacy (Basel, Switzerland)",hydroquinone,unspecified,unspecified,unspecified,unspecified,cosmetics product study | skin/topical study | clinical/hospital study | epidemiological study,,
